original_summary,finetuned_summary,reference_summary,original_rouge1,original_rouge2,original_rougeL,original_rougeLsum,finetuned_rouge1,finetuned_rouge2,finetuned_rougeL,finetuned_rougeLsum
Zully Broussard.,"The super swap works on a simple swapping principle, says California Pacific Medical Center . The process is a simple swapping principle, but it takes it to a higher level . The process is a simple swapping principle, says the California Pacific Medical Center .","Zully Broussard decided to give a kidney to a stranger .
A new computer program helped her donation spur transplants for six kidney patients .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
"ESPN's MLS team has been a key player in the MLS's history, and the MLS has been a key player in the MLS's history.",Phil Rawlins: MLS has a new generation of players who are able to play in the MLS . He says the MLS has a new generation of players who are able to play in the MLS . He says the MLS has a new generation of players who are able to play in the MLS . He says the MLS has a new generation of players who are able to play in the MLS .,"The 20th MLS season begins this weekend .
League has changed dramatically since its inception in 1996 .
Some question whether rules regarding salary caps and transfers need to change .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Swansea re-signed him in January.,Bafetimbi Gomis has been under a great deal of stress and fatigue after a 3-2 win at Tottenham . The 29-year-old was a precaution during the 3-2 win at White Hart Lane . The club have been battling a recurrent strain of fainting .,"Bafetimbi Gomis collapses within 10 minutes of kickoff at Tottenham .
But he reportedly left the pitch conscious and wearing an oxygen mask .
Gomis later said that he was ""feeling well""
The incident came three years after Fabrice Muamba collapsed at White Hart Lane .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Ryan Holmes scored a 71 to finish the day three shots off the pace at six-under.,"Rory McIlroy pulls his second shot on the eighth hole of the WGC Cadillac Championship . The Northern Irishman is one-under for the tournament, but he is not a PGA Tour member . The four-time major winner is a snarl of the PGA Tour's PGA Tour website .","Rory McIlroy throws club into water at WGC Cadillac Championship .
Northern Irishman frustrated after pulling shot into water hazard .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
"Cayman Naib, and if you read this please know that you are forgiven for everything, and I mean everything, you have everything.""","NEW: Police say Cayman was last seen wearing a gray down winter jacket, black ski pants and hiking boots . NEW: Police say he was last seen wearing a gray down winter jacket, black ski pants and hiking boots . The family says they have been communicating through the Facebook group ""Find Cayman"" The search has drawn hundreds of volunteers on foot and online .","Cayman Naib, 13, hasn't been heard from since Wednesday .
Police, family, volunteers search for eighth-grader .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
"Gabby Schilling, who was a student disc jockey at the University of New Jersey.",The tweets were a threatening and scary reminder of the dangers of public caning . The tweets were a threatening and scary reminder of the dangers of public caning . The tweets were a threatening reminder of the dangers of public caning .,"Ruben Navarrette: Schilling deserves praise for taking on online haters for offensive comments about his daughter .
Navarrette: In protecting his child, Schilling set a model for parenting and taught us a lesson about social media .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Egypt is a tourist destination.,"NEW: The two Americans are arrested for carving their initials into a wall . The two letters were reportedly made by Russian tourists . The two were spotted carrying out the act . The two were arrested for ""aggravated damage""","Two American women arrested for carving initials into a Colosseum wall .
Meanwhile, Egypt investigating Russian pornography film reportedly shot at Great Pyramids .
Cambodia's Angkor Archeological Park experienced a string of nudity-related incidents this year .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Prince and 3rdEyeGirl are bringing the Hit & Run Tour to the U.S. for the first time.,"The Hit & Run Tour will take place in Louisville, Kentucky, the hometown of 3rdEyeGirl drummer Hannah Welton . Tickets will go on sale Monday, March 9 at 10 a.m. local time . The Hit & Run Tour is the first U.K. tour to be held since the U.K. in 2014 .","It will be a first time for the tour stateside .
First show will be in Louisville, Kentucky .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
"A French and Belgian attack on a bar in Mali on Saturday killed five people, including French and Belgian citizens, authorities said.","NEW: A North African jihadist group claims responsibility for the attack, says the French Foreign Minister. NEW: The attack was a ""criminal and terrorist act"" The attack occurred in the capital of Bamako, the capital of Bamako, officials say . The attack occurred in a restaurant filled with innocent civilians, the government says .","A jihadist group claims responsibility in an audio recording, news agency reports .
The Malian government calls the shooting a ""terrorist act""
One French citizen, one Belgian and three Malians are killed .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Papiss Cisse is a very good player and he's a good player.,Manchester United defender Jonny Evans and Newcastle United striker Papiss Cisse are charged by the Football Association . The incident happened during the 38th minute of the game at St James' Park . The two players have until 6pm GMT on Friday to respond to the charge .,"Alleged incident happened in match at St James' Park .
Players face six-match ban if found guilty .
Evans denied spitting in statement .
Cisse statement says: ""I let you down""",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
Transcript of today's CNN Student News show Transcript and a place for you to request to be mentioned on the CNN Student News Roll Call.,Find out who's attempting to circumnavigate the globe in a plane powered partially by the sun . Find out who's attempting to circumnavigate the globe in a plane powered partially by the sun . Use the Daily Discussion to help students understand today's featured news stories .,"This page includes the show Transcript .
Use the Transcript to help students with reading comprehension and vocabulary .
At the bottom of the page, comment for a chance to be mentioned on CNN Student News.  You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call.",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
"ISIS militants have been battling the militants for more than two weeks, the foreign ministry said.","NEW: The abductions come amid Libya's deteriorating security situation . The Libyan government blames ""ISIS militias"" for the attack . The abductions come amid Libya's deteriorating security situation .","The abducted workers were seized in an attack on an oil field last week .
They are from the Philippines, Bangladesh, Austria, the Czech Republic and Ghana .
Militants have carried out a series of attacks on oil fields in recent weeks .",0.24326625741594132,0.087735369,0.18312001860288063,0.21656597707745348,0.2811052487046005,0.095376293,0.2050785388633441,0.246026066
